Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius
1416,8/27/2019 12:13,cba,geog391,Paired,4,StraightTrack,1,Bayes,Bayes,Bayes,1,21.71,56.76,7.73,-1,-1,10.12,14.39,18.1,21.71,0,1500,0.15,1,2500,150,0.4
1332,8/27/2019 12:18,cityboys,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,17.72,72.82,5.47,12.42,-1,9.3,13,15.97,17.72,0,1500,0.1,1,2500,150,0.4
1293,8/27/2019 12:14,cityboys ,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,22.66,56.78,8.64,-1,-1,11.76,15.98,19.71,22.66,0,1500,0.15,1,2500,150,0.4
1492,8/29/2019 11:06,del1234,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,20,56.85,6,-1,-1,9.11,13.33,16.99,20,0,1500,0.15,1,2500,150,0.4
1500,8/29/2019 11:08,del1234,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,17.98,73.16,5.74,12.72,-1,9.11,13.33,16.99,17.98,0,1500,0.1,1,2500,150,0.4
1509,8/29/2019 11:09,del1234,geog391,CreateCar,3,StraightTrack,19,Gauss,Bayes,Bayes,1,19.51,65.07,6.48,16.55,-1,9.11,13.33,16.99,19.51,0,1500,0.1,1,2150,150,0.4
1514,8/29/2019 11:10,del1234,geog391,CreateCar,4,StraightTrack,25,Gauss,Gauss,Bayes,1,16.14,93.53,5.35,9.9,-1,9.11,13.33,16.99,16.14,0,1500,0.05,1,2500,150,0.4
1480,8/29/2019 11:05,don't ask who joe is,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,21.72,56.86,7.72,-1,-1,10.77,15.04,18.75,21.72,0,1500,0.15,1,2500,150,0.4
1506,8/29/2019 11:09,don't ask who joe is,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,18.04,72.21,5.76,12.69,-1,10.77,15.04,18.75,18.04,0,1500,0.1,1,2500,150,0.4
1517,8/29/2019 11:11,don't ask who joe is,geog391,CreateCar,3,StraightTrack,19,Gauss,Bayes,Bayes,1,22.88,64.82,9.82,19.87,-1,10.77,15.04,18.75,22.88,0,1500,0.1,1,2150,150,0.4
1523,8/29/2019 11:12,don't ask who joe is,geog391,CreateCar,4,StraightTrack,25,Gauss,Gauss,Bayes,1,16.13,92.95,5.36,9.87,-1,10.77,15.04,18.75,16.13,0,1500,0.05,1,2500,150,0.4
1288,8/27/2019 12:04,dtx,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,26.02,56.68,11.88,-1,-1,15.05,19.3,23.05,26.02,0,1500,0.15,1,2500,150,0.4
1415,8/27/2019 12:13,dtx,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,18,72.77,5.76,12.7,-1,15.05,19.3,23.05,18,0,1500,0.1,1,2500,150,0.4
1432,8/27/2019 12:14,dtx,geog391,CreateCar,3,StraightTrack,19,Gauss,Bayes,Bayes,1,19.51,65.02,6.48,16.55,-1,15.05,19.3,23.05,19.51,0,1500,0.1,1,2150,150,0.4
1496,8/29/2019 11:07,dtx,geog391,CreateCar,4,StraightTrack,25,Gauss,Gauss,Bayes,1,16.13,93.21,5.35,9.86,-1,15.05,19.3,23.05,16.13,0,1500,0.05,1,2500,150,0.4
1323,8/27/2019 12:07,harold,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,20.31,56.77,6.3,-1,-1,10.78,15.04,18.76,20.31,0,1500,0.15,1,2500,150,0.4
1366,8/27/2019 12:10,harold,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,18,72.29,5.76,12.69,-1,10.78,15.04,18.76,18,0,1500,0.1,1,2500,150,0.4
1404,8/27/2019 12:12,harold,geog391,CreateCar,3,StraightTrack,19,Gauss,Bayes,Bayes,1,19.8,64.76,6.75,16.83,-1,10.78,15.04,18.76,19.8,0,1500,0.1,1,2150,150,0.4
1476,8/29/2019 11:05,harold,geog391,CreateCar,4,StraightTrack,25,Gauss,Gauss,Bayes,1,16.28,93.04,5.5,9.99,-1,11,16.89,27.77,16.28,0,1500,0.05,1,2500,150,0.4
1314,8/27/2019 12:06,hd,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,21.72,56.74,7.73,-1,-1,9.02,13.25,16.97,21.72,0,1500,0.15,1,2500,150,0.4
1362,8/27/2019 12:09,hd,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,17.99,72.77,5.75,12.68,-1,9.02,13.25,16.97,17.99,0,1500,0.1,1,2500,150,0.4
1418,8/27/2019 12:13,hd,geog391,CreateCar,3,StraightTrack,19,Gauss,Bayes,Bayes,1,19.52,64.81,6.48,16.55,-1,9.02,13.25,16.97,19.52,0,1500,0.1,1,2150,150,0.4
1494,8/29/2019 11:07,hd,geog391,CreateCar,4,StraightTrack,25,Gauss,Gauss,Bayes,1,16.13,92.95,5.35,9.87,-1,9.94,17.96,27.61,16.13,0,1500,0.05,1,2500,150,0.4
1300,8/27/2019 12:05,ilovestats,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,20.06,56.76,6.06,-1,-1,9.15,13.39,17.11,20.06,0,1500,0.15,1,2500,150,0.4
1360,8/27/2019 12:09,ilovestats,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,17.99,72.63,5.75,12.69,-1,9.15,13.39,17.11,17.99,0,1500,0.1,1,2500,150,0.4
